Regatta,Result,Date,Source,Place,Total
2025 PCISA Anteater Gold,22/34 (A Div),Nov 08,HS,22,34
2025 Norcal 4 Gold Fleet,12/34,Nov 02,HS,12,34
2025 Norcal 3 Gold,32/35,Nov 01,HS,32,35
2025 Sea Otter Regatta - SILVER,5/32 (A Div),Oct 11,HS,5,32
2025 Phebe Corckran King Memorial Trophy,6/18 (B Div),May 31,HS,6,18
2025 PCISA Gold PCC's,13/21 (A Div),May 03,HS,13,21
2025 NorCal Divisional Championship,3/20 (A Div),Mar 29,HS,3,20
2025 PCISA GOLDEN BEAR GOLD,23/32 (B Div),Feb 22,HS,23,32
2025 Rose Bowl Regatta - HS GOLD,23/32 (B Div),Jan 04,HS,23,32
Sea Otter 2024 - GOLD,29/32 (A Div),Oct 12,HS,29,32
2024 Rose Bowl Regatta - SILVER,12/36 (B Div),Jan 06,HS,12,36
2023 Anteater Regatta - SILVER,6/31 (B Div),Nov 11,HS,6,31
2023 Norcal 4 Gold Fleet,21/33,Nov 05,HS,21,33
Nor Cal 2 Silver Fleet,5/36,Sep 24,HS,5,36
Nor Cal 1 Silver,8/34,Sep 23,HS,8,34
